Day,Venue,0900-0930,0930-1000,1000-1030,1030-1100,1100-1130,1130-1200,1200-1230,1230-1300,1400-1430,1430-1500,1500-1530,1530-1600,1600-1630,1630-1700,1700-1730
Monday,VR,P18,P76,P66,P35,,,P43,,,,,P90,,,
,MR,P80,P102,,,P70,,P83,,,P110,P36,,P72,P46,
,IR,,,P29,P28,,P84,P103,,,P81,P91,,,,
,BJIM,P96,,,P33,P22,P12,,,P15,P92,P94,P104,P56,P31,
Tuesday,VR,,,,,,,,,,,,,P100,,
,MR,,P95,P68,,P112,P82,P113,,P73,,,,P108,P109,
,IR,,,P49,,,,,,P13,,,P105,P41,,
,BJIM,,,,,,,,,,,P51,,,P106,
Wednesday,VR,,,,,,,,,,,,,,,
,MR,,,P47,,,P17,P52,,,,,,,,
,IR,P63,,P10,P25,P60,P44,P99,,P88,,P118,,,,
,BJIM,,P20,,P30,,P24,,,P40,P2,P50,,P5,,
Thursday,VR,P78,,,P16,,,,,,,,,,,
,MR,P26,P53,P65,P37,P85,,P117,,P64,,P62,P6,,,
,IR,P7,,,,,P45,P71,,P67,P97,,,P61,P11,
,BJIM,,P4,P87,P23,P21,P77,P54,,P57,P8,P74,P115,P98,,
Friday,VR,P27,P75,,,P79,,,,,,P89,,,P1,
,MR,,,P14,,P58,,,,,,,P111,,P107,
,IR,,P39,P93,P38,P69,P3,P101,,,,P32,P42,P114,P48,
,BJIM,P116,,,P86,P55,P34,,,,,,P19,P59,P9,
